paymentID,memberID,amount,paymentDate
1,1,150.00,2025-04-01
2,2,200.00,2025-04-02
3,3,250.00,2025-04-03
4,4,300.00,2025-04-04
5,5,100.00,2025-04-05
6,6,350.00,2025-04-06
7,7,400.00,2025-04-07
8,8,450.00,2025-04-08
9,9,500.00,2025-04-09
10,10,550.00,2025-04-10
11,11,600.00,2025-04-11
12,12,650.00,2025-04-12
13,13,700.00,2025-04-13
14,14,750.00,2025-04-14
15,15,800.00,2025-04-15
16,16,850.00,2025-04-16
17,17,900.00,2025-04-17
18,18,950.00,2025-04-18
19,19,1000.00,2025-04-19
20,20,1050.00,2025-04-20
21,21,1100.00,2025-04-21
22,22,1150.00,2025-04-22
23,23,1200.00,2025-04-23
24,24,1250.00,2025-04-24
25,25,1300.00,2025-04-25
